File: collections.test
Type: cpu
Time: 2026-05-25 19:25:34 HST
Duration: 34.41s, Total samples = 29.28s (85.10%)
Showing nodes accounting for 26.14s, 89.28% of 29.28s total
Dropped 439 nodes (cum <= 0.15s)
      flat  flat%   sum%        cum   cum%
         0     0% 89.28%      1.01s  3.45%  github.com/snissn/gomap/TreeDB/collections.newColumnPhysicalRowReaderFromSnapshotView (inline)
         0     0% 89.28%      1.01s  3.45%  github.com/snissn/gomap/TreeDB/collections.newColumnPhysicalRowReaderFromSnapshotViewWithClose
         0     0% 89.28%      0.38s  1.30%  github.com/snissn/gomap/TreeDB/collections.openColumnGraphRebuildTestCollectionV2A
         0     0% 89.28%      2.09s  7.14%  github.com/snissn/gomap/TreeDB/collections.openColumnVectorGraphNativeSearchBenchFixtureV3
         0     0% 89.28%      0.37s  1.26%  github.com/snissn/gomap/TreeDB/collections.openVectorBenchmarkCollection
         0     0% 89.28%      0.37s  1.26%  github.com/snissn/gomap/TreeDB/collections.openVectorBenchmarkCollectionWithIndexes
         0     0% 89.28%      0.15s  0.51%  github.com/snissn/gomap/TreeDB/collections.prepareColumnWritePublishInputBeforeCommandWAL
         0     0% 89.28%      0.62s  2.12%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromFileWithChecksum
         0     0% 89.28%      0.42s  1.43%  github.com/snissn/gomap/TreeDB/collections.retryInsertBatchMutation
         0     0% 89.28%      0.27s  0.92%  github.com/snissn/gomap/TreeDB/collections.sortVectorIndexCandidates
         0     0% 89.28%      0.17s  0.58%  github.com/snissn/gomap/TreeDB/collections.validateColumnVectorGraphAssetRefAvailable
         0     0% 89.28%      0.33s  1.13%  github.com/snissn/gomap/TreeDB/collections.vectorBenchmarkWriteBatch
         0     0% 89.28%      1.11s  3.79%  github.com/snissn/gomap/TreeDB/collections.vectorFromJSONField
         0     0% 89.28%      1.12s  3.83%  github.com/snissn/gomap/TreeDB/collections.vectorFromStoredDocument
