File: collections.test
Type: alloc_space
Time: 2026-05-25 19:26:09 HST
Showing nodes accounting for 5606.46MB, 93.35% of 6005.77MB total
Dropped 302 nodes (cum <= 30.03MB)
      flat  flat%   sum%        cum   cum%
         0     0% 93.35%   529.74MB  8.82%  github.com/snissn/gomap/TreeDB/collections.(*Collection).insertBatchOnce
         0     0% 93.35%   529.74MB  8.82%  github.com/snissn/gomap/TreeDB/collections.(*Collection).insertBatchOnceWithLockState
         0     0% 93.35%   529.74MB  8.82%  github.com/snissn/gomap/TreeDB/collections.(*Collection).insertBatchWithCommandWALIntent
         0     0% 93.35%   529.74MB  8.82%  github.com/snissn/gomap/TreeDB/collections.(*Collection).insertBatchWithCommandWALIntent.func1
         0     0% 93.35%    65.14MB  1.08%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnPhysicalAssetRowsForCommand
         0     0% 93.35%    65.14MB  1.08%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnPhysicalAssetsForCommand
         0     0% 93.35%   300.89MB  5.01%  github.com/snissn/gomap/TreeDB/collections.(*Collection).publishRootDeltaGroupMaybeColumn
         0     0% 93.35%    65.14MB  1.08%  github.com/snissn/gomap/TreeDB/collections.(*Collection).publishRootDeltaGroupMaybeColumn.func1
         0     0% 93.35%   397.59MB  6.62%  github.com/snissn/gomap/TreeDB/collections.(*Collection).rebuildVectorIndexWithCommandWALIntent
         0     0% 93.35%    44.79MB  0.75%  github.com/snissn/gomap/TreeDB/collections.(*Collection).rebuildVectorIndexWithCommandWALIntent.func1
         0     0% 93.35%   301.94MB  5.03%  github.com/snissn/gomap/TreeDB/collections.(*Collection).withCommandWALPublishCoordinator
         0     0% 93.35%   286.71MB  4.77%  github.com/snissn/gomap/TreeDB/collections.(*StoredDocumentJSONMaterializer).StoredDocumentJSON
         0     0% 93.35%   153.47MB  2.56%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).CheckRecall
         0     0% 93.35%    64.04MB  1.07%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).checkRecallExactBatch.func2
         0     0% 93.35%    46.51MB  0.77%  github.com/snissn/gomap/TreeDB/collections.(*columnPhysicalAssetReadCache).read
         0     0% 93.35%  1527.12MB 25.43%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphBlockView).adjacency
         0     0% 93.35%  1532.39MB 25.52%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphPhysicalRowReader).SearchCosine
         0     0% 93.35%  1527.12MB 25.43%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphPhysicalRowReader).expandCandidateAdjacencyLayer
         0     0% 93.35%  1527.12MB 25.43%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphPhysicalRowReader).rawCandidateAdjacencyWithDirectView
         0     0% 93.35%   945.60MB 15.74%  github.com/snissn/gomap/TreeDB/collections.BenchmarkCollectionVectorIndexSearch
         0     0% 93.35%   753.57MB 12.55%  github.com/snissn/gomap/TreeDB/collections.BenchmarkCollectionVectorIndexSearchInt8
         0     0% 93.35%  1109.50MB 18.47%  github.com/snissn/gomap/TreeDB/collections.BenchmarkColumnVectorGraphNativeSearchCosineTypedColumnV3
         0     0% 93.35%  1097.01MB 18.27%  github.com/snissn/gomap/TreeDB/collections.BenchmarkColumnVectorGraphNativeSearchCosineV3
         0     0% 93.35%   942.71MB 15.70%  github.com/snissn/gomap/TreeDB/collections.BenchmarkOpenVectorIndexSearcherColumnGraphNativeReaderSetupV6
         0     0% 93.35%  1145.46MB 19.07%  github.com/snissn/gomap/TreeDB/collections.BenchmarkOpenVectorIndexSearcherColumnGraphNativeReaderV4
         0     0% 93.35%    65.14MB  1.08%  github.com/snissn/gomap/TreeDB/collections.BuildColumnPublishPlan
         0     0% 93.35%  2206.51MB 36.74%  github.com/snissn/gomap/TreeDB/collections.benchmarkColumnVectorGraphNativeSearchCosineV3
         0     0% 93.35%   183.13MB  3.05%  github.com/snissn/gomap/TreeDB/collections.collectionGetAppendAtCatalogRoot
         0     0% 93.35%   187.14MB  3.12%  github.com/snissn/gomap/TreeDB/collections.columnRetainedPayloadFromJSONDocument
         0     0% 93.35%  1527.12MB 25.43%  github.com/snissn/gomap/TreeDB/collections.columnVectorGraphLittleEndianUint32DirectView
         0     0% 93.35%    50.01MB  0.83%  github.com/snissn/gomap/TreeDB/collections.columnVectorGraphManifestMatchStatus
         0     0% 93.35%    50.01MB  0.83%  github.com/snissn/gomap/TreeDB/collections.columnVectorGraphManifestMatchesDefinition (inline)
         0     0% 93.35%   199.65MB  3.32%  github.com/snissn/gomap/TreeDB/collections.decodeColumnJSONObject
         0     0% 93.35%    55.29MB  0.92%  github.com/snissn/gomap/TreeDB/collections.encodeColumnPhysicalAsset
         0     0% 93.35%    48.06MB   0.8%  github.com/snissn/gomap/TreeDB/collections.marshalColumnReconstructedJSONObject
         0     0% 93.35%    48.06MB   0.8%  github.com/snissn/gomap/TreeDB/collections.marshalColumnReconstructedJSONObject.func1
         0     0% 93.35%    98.97MB  1.65%  github.com/snissn/gomap/TreeDB/collections.newColumnPhysicalRowReaderFromSnapshotView (inline)
         0     0% 93.35%  1395.16MB 23.23%  github.com/snissn/gomap/TreeDB/collections.openCollectionCommandWALDB
